ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	pb_tot_avg	pb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j1	-1.2500002708293323e-06	8.563402873534215e-06	3.2499999993262922e-06	7.881416103332318e-06	-1.874999835251856e-06	8.93641541261615e-06	2.750000006486175e-06	7.608694608901512e-06	-2.3750000201516737e-06	1.0543192196745033e-05	-5.969112625	0.07350017274616187	0.0	0.0	-53.35876724999997	4.2189234203942965	70.72082812499998	4.566256612893045	-40.042515374999994	2.2973652249269816	-28.64956662499994	2.5214350439687987	1	-9.8	0.1	1	Janssen
j2	2.000000174575689e-06	7.125260596260478e-06	1.4999999753939619e-06	8.619647425308067e-06	-2.1249999900874173e-06	7.786869396940187e-06	1.8750000192824245e-06	9.879908660853374e-06	3.7499992245670904e-07	8.012532288457173e-06	-5.008735249999999	0.05236635326124713	0.0	0.0	-11.852423250000308	1.1255463243989878	38.54331837500008	2.1070994431629253	-42.598598000000074	0.5105787534557521	-20.916434500000285	1.1355370408371752	2	-9.6	0.1	0	Janssen
j3	-2.624999751787982e-06	9.328299787154339e-06	-3.4999999924423265e-06	6.6326823179780285e-06	-2.00000000035061e-06	9.549401170273167e-06	2.4999998650798714e-07	9.188164836632373e-06	-1.250001683672508e-07	9.864424102466123e-06	-4.101167749999998	0.036268738117107534	0.0	0.0	-33.2951741250002	1.6367113135043323	47.80311837500013	0.9020832388252952	-30.457939625000034	0.8078514387688411	-20.051171124999907	0.9849355002495898	3	-9.0	0.1	0	Janssen
j4	-3.7500000189538696e-06	2.175435631447198e-05	2.500000014151737e-06	1.0265591337894366e-05	-3.4999999749629753e-06	1.3458639392223987e-05	3.5000000375617895e-06	7.0273089838481855e-06	6.875000047443791e-06	3.0164994200175817e-05	-5.952497125	0.04904560795908852	0.0	0.0	-73.5333035000001	3.6406897616865472	92.72791074999996	3.707862590569397	-45.06604487500002	1.158993999509628	-31.823929125000078	1.380114018975616	4	-8.9	0.1	1	Janssen
j5	3.6249994923309716e-06	8.327315523954463e-06	-1.0000000295207198e-06	7.797305883348871e-06	-8.750000155544058e-07	8.544241575146317e-06	-5.000000169275154e-07	9.828187756357331e-06	8.749999656743055e-07	5.832667512849777e-06	-3.756771500000003	0.021948451026657618	0.0	0.0	-40.35118462499985	1.3917064940354817	54.99034499999996	1.0614221940387545	-29.833965874999976	0.9127743942000812	-18.951574875000013	0.8641913707589584	5	-8.8	0.1	0	Janssen
j6	4.999998280652564e-07	8.043163683963684e-06	3.874999977924176e-06	8.412264857886537e-06	-2.4999999411079445e-06	8.001522198624262e-06	6.249999771057446e-07	9.010070803782044e-06	1.3749999634171673e-06	9.020541271945818e-06	-3.884775124999997	0.010896329151178646	0.0	0.0	-18.061575125000704	0.8315644608510867	39.90397049999999	0.9802738162700017	-37.511306625	0.761826405545254	-19.553682500000146	0.7404635222648748	6	-8.2	0.1	0	Janssen
j7	-4.999996826882125e-07	6.104111365584648e-06	-1.0000000133914e-06	1.0446399667920593e-05	2.000000090163212e-06	1.0479542292526605e-05	2.124999960813057e-06	8.611628109044471e-06	1.2499994525683178e-07	8.495903426413126e-06	-4.563890625	0.027252031406167446	0.0	0.0	-36.57492750000007	1.3082738861554577	57.06664550000009	1.2289178522826154	-30.684239624999986	0.6276820986828956	-14.756409499999847	1.1026897488526883	7	-7.8	0.1	0	Janssen
j8	1.499999951022346e-06	6.193160558604145e-06	-1.3750000015022578e-06	8.253072350949952e-06	-1.124999952821781e-06	1.0722031287745767e-05	-2.7500000116731367e-06	6.3332410845479585e-06	2.749999999736019e-06	8.495026371980325e-06	-3.7189762500000025	0.01764468759421064	0.0	0.0	-17.225380624999858	0.8253478175856049	37.8837526249999	0.7694410364581715	-36.55995375000003	0.4335259191321136	-19.620558999999872	0.7023640004859361	8	-7.4	0.1	0	Janssen
j9	6.250001433727447e-07	1.0321875537566543e-05	1.1250000487095235e-06	8.623713673692746e-06	-2.5000003986974664e-07	7.010059001145116e-06	-1.250000020114328e-06	8.32739945702142e-06	-1.6250000408035705e-06	8.837187822506509e-06	-3.689224875	0.021916680295388492	0.0	0.0	-27.87778325000001	1.6097850586468432	44.300514749999984	1.5605152810108738	-30.98875425	1.136594830433041	-18.255248999999925	0.9618986360217832	9	-7.3	0.1	0	Janssen
j10	-5.000001181088009e-07	9.468946535065274e-06	-2.9999999981811243e-06	8.908593059467267e-06	-9.999999077692223e-07	8.970296859919456e-06	-1.375000016317074e-06	9.530257507039475e-06	-3.249999940493353e-06	8.872135207368035e-06	-2.535238875	0.013335108205312958	0.0	0.0	-22.153931124999733	1.2060294285640218	30.241114249999853	1.075816733165388	-23.21461687499995	0.7067287011033961	-17.66268174999995	1.007847496015649	10	-6.3	0.1	0	Janssen
j11	2.1250000600048224e-06	7.485149039584116e-06	-6.25000001370779e-07	7.809592571275453e-06	1.1250000001439274e-06	9.551383403162053e-06	1.2500000232051892e-06	8.804942890090116e-06	1.625000164011681e-06	7.1838049817960965e-06	-2.8631446250000017	0.022449448309104933	0.0	0.0	-20.365755874999945	0.8679835246562007	34.503034124999985	0.8659645755860906	-28.30282275	0.5419016067307507	-17.028683624999953	0.9067582916020576	11a	-5.6	0.1	0	Janssen
j12	2.6249996835758787e-06	9.12613690157094e-06	3.875000016861918e-06	8.16933910151194e-06	-1.3750000312029442e-06	6.78513456065277e-06	2.2499999856151474e-06	6.217509097237175e-06	-6.250000846108604e-07	8.654113980462877e-06	-2.9026038750000005	0.01869609443754804	0.0	0.0	-18.057396749999285	0.8506042112113222	31.560464000000106	1.0443890719534803	-25.85363825000002	0.541705324037569	-15.25316812500014	0.8131740680634355	11b	-5.6	0.1	0	Janssen
g1	8.750000733925846e-07	6.864797974722108e-06	1.999999974202637e-06	6.955547541529641e-06	3.750000108482254e-07	9.561345152103537e-06	4.000000007948756e-06	8.326129672767305e-06	-6.249999893270797e-07	7.240950904931282e-06	-4.9698281249999985	0.02629274357954384	0.0	0.0	-22.92327424999988	0.8573126525368556	43.88797699999989	1.1209588770154368	-39.79139287500009	1.1610363144878169	-23.796511625000022	1.094335691698584	THQ1	-9.607999999999999	0.1	0	THQ
g2	-2.8749996477017707e-06	8.747948721384821e-06	1.124999989343678e-06	7.221808749389343e-06	-3.249999952856797e-06	7.578467716731088e-06	3.750000098179385e-07	8.945579176105931e-06	5.000000227539658e-07	8.827688095632499e-06	-3.8085311249999987	0.0169949732147691	0.0	0.0	-20.17718912499952	0.8240306099489912	36.662257124999954	1.0257344898148184	-33.17148387499995	0.5316814559331055	-20.49495112499988	0.6167602884546285	THQ2	-7.6864	0.1	0	THQ
g3	8.7500013250974e-07	8.327986504603446e-06	1.4352963262354024e-14	9.544485002033742e-06	1.2500001034254635e-07	8.595727599135677e-06	1.1250000134310766e-06	1.0599405139818083e-05	2.375000105843128e-06	9.54373085015542e-06	-4.672266125000002	0.02926797431629215	0.0	0.0	-21.25552562500035	0.659517371746776	41.12609462499992	0.8119781132031783	-38.915041125000016	1.1270115822315223	-23.716733749999854	1.0960458739671268	THQ3	-9.33348	0.1	0	THQ
g4	1.250002310371201e-07	8.720074974572438e-06	-1.2499999044734974e-07	7.575192537913702e-06	-8.750000328916485e-07	8.944014493603586e-06	-2.415845301584341e-15	1.0009331535814446e-05	8.750000448287666e-07	9.692909934116094e-06	-4.603480125000004	0.025777255296311537	0.0	0.0	-26.253287500000358	1.220129812547058	45.81873300000004	0.9802562308270802	-37.78960299999999	0.8038558068829177	-22.827637624999948	1.007881494383333	THQ4	-9.33348	0.127	0	THQ
g5	1.87499997082341e-06	7.8073615566438e-06	1.2499998859993867e-07	9.706148112730212e-06	-1.2499993800929588e-07	9.7431436064489e-06	1.999999987489786e-06	1.0545512647481513e-05	-2.500000212535269e-07	9.382415937531172e-06	-4.867853625	0.039746674931466025	0.0	0.0	-25.367785874999512	0.9947405364371978	46.548908124999855	1.0477022415960855	-40.154657125000035	0.92564752355049	-23.841384874999914	1.0250508900266098	THQ5	-10.8433	0.1	0	THQ
g6	-2.1249997780614648e-06	9.341459259743456e-06	2.2500000224567883e-06	8.453535322588753e-06	-2.4999998871066964e-07	7.755355635607871e-06	-1.2500001574267118e-07	8.564465200751615e-06	2.50000003745754e-06	8.20526159913335e-06	-5.209980250000001	0.036514275537171986	0.0	0.0	-20.43938612500021	0.8666671917478457	45.852657625000106	1.061529364876953	-40.223602875	1.0318755775940778	-20.020309374999908	0.8857590266483818	THQ6	-7.6864	0.1	0	THQ
g7	-1.2500001776061251e-06	7.617446826902902e-06	-1.3750000221079972e-06	7.444832668891739e-06	3.749999683577698e-07	8.169067722642882e-06	1.750000041624844e-06	8.431174457721404e-06	-1.7499999515280254e-06	8.006491740667453e-06	-4.630360124999998	0.030422774387328287	0.0	0.0	-32.88258087499978	1.6271986412772068	54.17000950000007	1.8161515883016173	-41.53015124999995	2.220588098811716	-24.873085000000128	2.0821397107694963	THQ7	-7.96091	0.1	0	THQ
g8	4.999999714527804e-07	7.933807918392144e-06	2.7499999960411966e-06	7.765270761555869e-06	-2.625000101090791e-06	7.783997200563428e-06	3.3749999840892995e-06	9.591662270322616e-06	-2.749999921292101e-06	9.520660855145582e-06	-5.126669125000001	0.03303107437507044	0.0	0.0	-21.090522999999816	0.9058638367686646	43.184152125000075	1.068619831916099	-39.82441799999992	0.7275485048640019	-22.857456749999873	0.9096179196072396	THQ8	-8.921710000000001	0.1	0	THQ
g9	2.499995548532752e-07	8.189849817080812e-06	-4.999999640631359e-07	8.326073416840061e-06	-1.3750000564982656e-06	7.855836694192686e-06	-1.6249999736572818e-06	1.0003953355206083e-05	1.3749999264689449e-06	8.202043323894972e-06	-5.268618625	0.04686335958683244	0.0	0.0	-20.153209375000827	1.1650469369483871	42.41184162499996	1.0663399123752295	-40.90055475000005	0.7574250901124432	-23.910542999999965	0.977164945315986	THQ9	-5.90206	0.1	0	THQ
g10	-2.4999973675221553e-07	7.066864581670341e-06	1.3750000094603365e-06	9.097907721310817e-06	6.249999685792319e-07	8.494055324610714e-06	-1.249999831287596e-07	7.562920005493642e-06	3.750001074820375e-07	8.117411876008001e-06	-5.6990378749999975	0.049152564879822634	0.0	0.0	-35.6928361250006	4.408881889536971	55.30794412500008	4.768942815735214	-42.0133275	1.3078560529887195	-28.097255374999854	1.5160736943976645	THQ10	-10.4315	0.14	1	THQ
g11	2.7499998998337105e-06	1.079849388780309e-05	-6.249999735530309e-07	1.0747490926306957e-05	3.62500004612798e-06	8.77821271292286e-06	-1.0000000187204706e-06	7.748111217897262e-06	1.2500011493443707e-07	8.907887191849387e-06	-5.838011625	0.03940192475287952	0.0	0.0	-35.77704337500021	3.821548790607848	54.656512249999906	3.555937884109608	-43.81832424999999	0.8488674478665317	-30.776862125000033	0.6828282346195339	THQ11	-9.33348	0.41	1	THQ
g12	-7.500000208437995e-07	8.85486987681557e-06	-2.1250000345673925e-06	9.626952950735457e-06	-2.6250000360050763e-06	9.211352307478493e-06	5.000000174248953e-07	8.145348871358921e-06	-2.624999964950803e-06	9.303858677450535e-06	-6.0397046250000015	0.05837920823706625	0.0	0.0	-36.51167524999988	3.552556237494804	55.88467499999992	3.468308682785445	-44.842296124999905	1.0456349788547925	-31.509008625000078	1.1346747684043017	THQ12	-7.5491399999999995	0.1	1	THQ
g13	-2.4999977540574034e-07	9.800977811655603e-06	7.499999772164756e-07	8.895093454330837e-06	1.3749999213530372e-06	1.1047365717899801e-05	-1.6250000189899083e-06	7.142920816468022e-06	2.1250000213512976e-06	6.9414748756023454e-06	-5.246022000000002	0.047115758724091815	0.0	0.0	-111.35688574999979	7.3157544616206085	117.58028499999986	6.995348924144652	-35.22067062500003	1.4787348854162672	-34.24329099999994	1.9697652415227385	THQ13	-7.41188	0.1	-1	THQ
g14	1.3750004097801138e-06	1.0366519686380637e-05	6.250000203067428e-07	6.948385004363519e-06	-1.1250000042650754e-06	8.041863766984145e-06	-2.249999950834081e-06	8.365886937472048e-06	1.374999966969881e-06	7.865733008383079e-06	-5.0358015	0.052437298942267334	0.0	0.0	-115.0360637499995	8.288866763927926	119.94514550000014	6.895995258013007	-34.97038724999999	2.0249711004146116	-35.097107	3.3162416013564173	THQ14	-9.19623	0.27	-1	THQ
g15	-1.0000003203458618e-06	9.394828781632653e-06	9.999999915066835e-07	6.108777202797805e-06	-1.1249999924700658e-06	1.3841099264283688e-05	1.1250000313367537e-06	9.25316324343089e-06	6.249999177043718e-07	1.1043843688543739e-05	-4.974802499999998	0.04672580641718932	0.0	0.0	-116.18077499999978	9.944567322767	119.73078850000007	8.635036230693993	-35.621761250000034	2.647023058545215	-37.04654962499996	3.829879901152197	THQ15	-10.7106	0.14	-1	THQ
g16	-2.4999998004204827e-07	6.548195944661916e-06	-9.999999790011316e-07	8.198561795347691e-06	-2.87499996858287e-06	8.68953206163974e-06	9.999999976884055e-07	6.606417625800825e-06	1.5000000645670753e-06	1.0065615516033974e-05	-5.57139425	0.05543677172232506	0.0	0.0	-30.91816562500036	4.465536595652597	53.0106984999999	3.9482239979752545	-41.069481125000046	1.3980340350344471	-24.548344125000003	1.2662640366249152	THQ16	-7.41188	0.38	1	THQ
