1traj
11.40	& 0.38	& 0.28	& (0.29)	 0.25	& (0.20) \\
4.66	& 0.15	& -0.02	& (0.22)	 0.19	& (0.22) \\
1.58	& 0.39	& 0.42	& (0.31)	 0.35	& (0.37) \\
7.08	& 0.03	& -0.09	& (0.28)	 0.17	& (0.29) \\
1traj-ar
12.13	& 0.45	& 0.33	& (0.28)	 0.34	& (0.19) \\
4.90	& 0.27	& 0.08	& (0.21)	 0.31	& (0.20) \\
1.76	& 0.71	& 0.66	& (0.19)	 0.69	& (0.21) \\
7.38	& 0.10	& -0.00	& (0.27)	 0.22	& (0.26) \\
2traj-ar
12.54	& 0.43	& 0.32	& (0.27)	 0.32	& (0.19) \\
5.57	& 0.26	& 0.10	& (0.19)	 0.30	& (0.19) \\
1.69	& 0.64	& 0.61	& (0.20)	 0.60	& (0.25) \\
8.23	& 0.14	& 0.08	& (0.26)	 0.27	& (0.26) \\
