ligname	pdbname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	pb_tot_avg	pb_tot_se	gb_tot_avg	gb_tot_se
j1	j1	7.500001822791092e-07	7.191570627021292e-06	-1.7500000218717559e-06	7.861372572303971e-06	-1.250000053119038e-06	9.185399992457255e-06	-3.749999910951374e-07	1.0218884268989784e-05	1.2500000306658875e-06	7.816298110812302e-06	-5.2834068750000025	0.11357711469496622	0.0	0.0	-35.748341375000166	4.412098702719975	48.962536875000225	4.617059898604775	-38.972574250000086	2.1224806661396167	46.01631475000003	4.5740186346504705	-6.062382918	0.24274948517059988	-31.04178699999989	2.0956709583859756	-34.766985167999735	2.4606733092489286
j2	j2	1.3749999084211594e-06	9.96696097618183e-06	2.6645352591003757e-14	7.068579753685461e-06	2.000000021098458e-06	9.051111383740144e-06	-2.1249999925743167e-06	9.901664205974376e-06	2.4999989108209773e-07	8.346736781972192e-06	-4.73481175	0.03421517580744556	0.0	0.0	-5.676345875000671	1.214315016739943	27.195096999999983	2.109536997771824	-40.4603755	0.4801107497722696	22.397214624999997	1.5714342399397454	-5.607738830699999	0.04615966226075513	-23.676434625000123	1.0651832050718901	-29.347244080700133	0.6232446190121773
j3	j3	-1.4999994891695677e-06	8.479427674769307e-06	-2.3163693185779265e-14	9.260585005860782e-06	3.7500001184298524e-07	7.573664392039662e-06	1.1249999840856617e-06	8.09502768774706e-06	2.500000051952611e-07	8.19387236953713e-06	-3.7936373749999985	0.044058972370133405	0.0	0.0	-21.00370474999948	1.312234391062489	32.523232750000176	0.9335276686808465	-29.653668250000045	0.7270356724639526	28.491732250000005	1.0592135732412744	-4.976623762200001	0.054263855484960676	-21.927777374999962	0.9212110871281746	-27.142264262200104	0.6164498451807658
j4	j4	-3.7499985410249793e-07	6.858492363685317e-06	-1.8749999972555997e-06	8.289739645996023e-06	-1.2499994340942065e-07	7.693218460705347e-06	-1.4999999762466132e-06	8.987575067998187e-06	1.7500000021186678e-06	9.886824435154344e-06	-5.433867499999996	0.06191582680890102	0.0	0.0	-60.23364574999972	3.759326828844946	74.30964125000006	3.874970391331465	-43.772650625000004	1.153487817960526	70.65770112500002	3.687506562156962	-6.776956934099998	0.08839864423978272	-35.13052474999973	1.408446359640501	-40.125554309100224	1.087524300175745
j5	j5	-3.750005339497875e-07	7.964108732685958e-06	2.374999999616989e-06	8.764470430250162e-06	2.250000024446308e-06	8.07971502336103e-06	-8.749999952328835e-07	8.54127133842627e-06	-2.4999996639962773e-07	6.956709030921223e-06	-3.75372475	0.045964158465692684	0.0	0.0	-31.09849287499965	1.65266190045213	43.08378475000002	1.1299640187415017	-29.020540125000025	0.8263867396519714	39.10022100000001	1.5882958437076489	-5.2222836248999975	0.09390964916752666	-20.78896987500012	1.1103090120865817	-26.241092499899956	0.7718658235397619
j6	j6	-1.4999998435882845e-06	9.160328183516562e-06	3.3749999947474406e-06	9.131542545050935e-06	8.749999797430518e-07	6.5797390027138824e-06	1.8750000052136784e-06	8.977666531113941e-06	-4.999999411836598e-07	1.1134343964430865e-05	-3.8369282499999993	0.027312657051662408	0.0	0.0	-14.160048000000197	0.8869220354677445	31.88008649999999	0.9931142595396028	-35.34001537499998	0.7305660536812888	27.137624874999943	0.8795845180323442	-4.8156567803999994	0.05275216432846408	-21.45690099999984	0.6868358339861491	-27.178091155399997	0.8315101882275594
j7	j7	-1.0000000020227161e-06	8.129325909105516e-06	2.4999999567398843e-07	6.734377837547603e-06	2.2499999923297766e-06	8.132533386734507e-06	-3.999999976045387e-06	8.865296525828627e-06	-1.9999998806952136e-06	8.738761059170129e-06	-4.201017125000003	0.05166050181846112	0.0	0.0	-28.863081375000544	1.1906577424095643	44.39363850000006	1.0659765248006747	-29.661576874999977	0.526506193846281	38.280725250000074	1.0867282735504027	-5.1568689618	0.07402615622710901	-18.332041375000035	0.898404460579686	-25.400806461799892	0.7881018242647955
j8	j8	-2.3749998469213552e-06	8.341555289393155e-06	-4.250000024015321e-06	9.319427195406213e-06	1.6249999912076874e-06	5.01431382518728e-06	1.2499999989756817e-06	8.877264193552079e-06	3.750000695390554e-07	8.34783362752466e-06	-3.658288125000001	0.024422713426228176	0.0	0.0	-13.347444749999703	0.916064439775823	30.056682000000023	0.9454877665925601	-34.30917324999997	0.4628340763675863	24.526402000000022	1.0343392431326843	-4.671207172800001	0.05474151152196942	-21.258227499999894	0.5817410123193452	-27.801426547799984	0.6182141094557226
j9	j9	2.955857780762017e-14	1.0353515933593046e-05	2.499999979477252e-06	8.105340405949676e-06	1.1250000267182258e-06	8.344344645502619e-06	-2.750000000411035e-06	8.813386546712341e-06	-7.499999995275175e-07	7.296295634005103e-06	-3.751135874999997	0.02866419659125601	0.0	0.0	-21.17442900000091	1.6983012317344126	35.05760724999999	1.6264172434261375	-29.473649999999942	0.9856744288227631	31.314109500000026	1.737917984984609	-5.0730961176	0.11451007865388085	-19.341607499999753	0.9560215615479152	-24.407065492600108	0.9576498174020819
j10	j10	-8.750001114776751e-07	7.79266769014815e-06	-1.5000000092157962e-06	7.859026644607636e-06	-2.8749999857069496e-06	9.236184666838176e-06	2.500000117322543e-07	8.652113760817645e-06	-1.3749998990419954e-06	6.790255330719759e-06	-2.477062249999997	0.03412907616006323	0.0	0.0	-22.1830332499998	1.224124031901045	25.972350249999927	0.9268438745161878	-21.227063000000026	0.7636887754147088	23.30079587499996	1.179516965974151	-3.426762329999999	0.08245495626407798	-19.914814624999995	0.6997827021211079	-23.536069080000033	0.9900469360408055
