ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j1	9.999998530929589e-07	8.784882038609066e-06	1.5000000243503562e-06	9.435275429972392e-06	-5.000000516020009e-07	6.813675164357837e-06	1.4999999942943986e-06	8.529830341599498e-06	-1.499999984559963e-06	8.839819179198477e-06	0.0	0.0	-78.75322524999919	4.473112605594106	-46.66829199999998	2.227110932506004	100.673076125	4.694450144660327	-9.424234970099997	0.12770051768721954	-34.17267409510005	3.4677123650587816	1	-9.8	0.1	1	Janssen
j2	-2.4999998936436897e-06	8.200241475846762e-06	1.2500000288184767e-07	8.03023860264895e-06	-3.000000016015747e-06	9.334838133918506e-06	-2.500000012872761e-07	7.745548333149085e-06	3.37499999190527e-06	9.126424984081484e-06	0.0	0.0	-15.21812587499918	1.3031924276248734	-49.45174250000004	0.7342126173130309	39.10113049999996	1.5087805294983905	-7.9727887890000035	0.07849473191565283	-33.541528913999926	0.8097676915290347	2	-9.6	0.1	0	Janssen
j3	-2.750000444393663e-06	9.40763240222104e-06	6.249999991325694e-07	8.186928559341327e-06	-2.500000417171577e-07	9.675751310234093e-06	9.805489753489382e-15	8.244825578452716e-06	-1.6249999296746863e-06	8.206267311518057e-06	0.0	0.0	-41.39510825000021	1.366298249216328	-36.375296749999954	0.8992314152889469	61.565014500000075	1.2452669816872681	-7.1768263616999945	0.02677159944828193	-23.382220861699924	1.1823950229567652	3	-9.0	0.1	0	Janssen
j4	-3.749996949409251e-07	8.971075410128594e-06	-1.5000000017550976e-06	7.2956474698770435e-06	1.8749999381384442e-06	8.88886585370522e-06	-1.62499999191823e-06	8.942232696547208e-06	-1.6250001129947122e-06	8.655123213957711e-06	0.0	0.0	-89.66923274999998	3.6705564747510118	-52.361089999999926	1.2178032954387257	114.33687187500004	3.710754146064836	-9.9906597567	0.08553198661218636	-37.68411388170001	0.9919626962016724	4	-8.9	0.1	1	Janssen
j5	-1.7500005174042599e-06	8.543675003832647e-06	1.2500003208515408e-07	8.593599176628198e-06	-4.999999723054316e-07	6.824100419340956e-06	6.249999941587703e-07	8.818648323237022e-06	9.999999826248995e-07	7.843792076095281e-06	0.0	0.0	-41.5624771249996	1.3712298269104968	-34.29964974999998	1.1828821204488271	61.04816724999989	1.3873525219099052	-6.8208583374	0.045096708884550286	-21.63481846239997	1.6368244400244742	5	-8.8	0.1	0	Janssen
j6	-2.4999998694141826e-06	7.762361711772121e-06	1.0000000183651993e-06	6.230055529491392e-06	-3.7500004964385884e-07	8.681614900221646e-06	-3.7499999869794467e-07	9.404536875857307e-06	-2.750000092248683e-06	1.0903298586936123e-05	0.0	0.0	-17.81619200000008	0.8809940273739053	-41.57595000000001	0.5673736685862901	40.008220749999936	0.7028483980097924	-6.292695933899998	0.04221366995865949	-25.67662218389988	0.9615983289587928	6	-8.2	0.1	0	Janssen
j7	2.499999527572072e-07	9.429635797477652e-06	2.875000030826413e-06	6.236833503104989e-06	1.8750000678835479e-06	7.662328735687186e-06	-2.000000029056537e-06	8.283822794532751e-06	1.3750001092205367e-06	7.860144645921794e-06	0.0	0.0	-44.26477624999971	1.6534323842026415	-37.605063749999964	0.6158059299050909	70.57766162499998	1.5392905367818104	-7.896292338599995	0.04681418727573035	-19.18846633860004	0.9641459508441972	7	-7.8	0.1	0	Janssen
j8	-1.6328272067767105e-13	8.69797910986413e-06	-1.624999980123221e-06	8.47374040174964e-06	2.8750000500110677e-06	8.529783428404309e-06	3.1249999920390793e-06	8.922493474781917e-06	3.7499998590817536e-06	8.054085189434408e-06	0.0	0.0	-17.323454375000196	1.2339065409872674	-40.77075387500003	0.6035908298021719	37.31642962500001	1.1509690353273343	-6.154633574999997	0.04376982578972238	-26.932404075000022	0.8827008986834735	8	-7.4	0.1	0	Janssen
j9	2.1249999042538546e-06	7.443200264293883e-06	-1.750000032458843e-06	6.788712820637181e-06	5.000000085715328e-06	9.059758026324879e-06	-3.750000004387744e-07	7.455117808481596e-06	-1.749999958207127e-06	1.161443411408096e-05	0.0	0.0	-26.573052249999954	1.609456594698217	-35.085855250000066	0.7398369832598729	42.22912562499983	1.6391910937769931	-6.321976507800003	0.05796038741265296	-25.751755132800234	1.2623099287571489	9	-7.3	0.1	0	Janssen
j10	-4.999999538313205e-07	1.1713412273082394e-05	-8.750000083068699e-07	7.927606160079869e-06	-1.2499999519732796e-06	7.548367904019922e-06	-1.2499997161796728e-07	7.5256522794352005e-06	-2.4999998021968395e-07	8.190140679086948e-06	0.0	0.0	-19.054430125000955	2.441204883596924	-26.704985750000066	1.2250836561223806	24.52241974999989	3.2147609989216206	-4.208420303099997	0.07468405494229965	-25.4454194281001	2.0034753997401	10	-6.3	0.1	0	Janssen
