ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	pb_tot_avg	pb_tot_se	paper-id	expt-dg	expt-err	q	dataset	neg_tds_avg	neg_tds_se	dg_avg	dg_se
j1	3.7500006101254257e-07	9.366003127245253e-06	-4.999999902111085e-07	8.829889242485009e-06	-8.749999670953912e-07	7.83726790073035e-06	-1.5000000102816104e-06	7.2799690926567714e-06	3.750000658442332e-07	6.389519885031828e-06	-5.413601750000002	0.09314267560581606	0.0	0.0	-40.566331249999536	4.7747236350789235	54.34406837499992	4.705484088237949	-39.0346828749999	1.904166000710416	-30.67054962500012	1.8891250035169165	1	-9.8	0.1	1	Janssen	20.24454024363877	1.2473795862830968	-10.42600938136135	3.1365045898000132
j2	2.2499996453007043e-06	1.0589242171050704e-05	-2.6250000384209214e-06	8.406538461143404e-06	1.125000066224402e-06	7.066658689407753e-06	5.000000086141654e-07	9.788461169408234e-06	3.749999926583314e-07	9.118634085658417e-06	-4.811753125000001	0.04374270038668037	0.0	0.0	-7.18313549999941	1.3196863062468558	29.006310250000066	2.0609166725611736	-41.145896375000035	0.6344680125916908	-24.13447312500029	1.1585781132938708	2	-9.6	0.1	0	Janssen	8.147704638976595	0.29653575711829816	-15.986768486023696	1.4551138704121689
j3	6.250000660656951e-07	8.188981389601138e-06	3.374999982952432e-06	7.853236151003696e-06	-1.6250000177819858e-06	8.216842244886363e-06	-5.00000040233317e-07	7.494631572319659e-06	-1.6250000753359473e-06	1.1104754056039813e-05	-3.8610662499999986	0.04933552999739161	0.0	0.0	-23.936158375000787	1.6051854256083538	35.88512999999978	1.003612052766777	-29.513030999999927	0.9750493486841008	-21.425125374999983	1.0623417994663829	3	-9.0	0.1	0	Janssen	10.65289748181464	0.4472715566296063	-10.772227893185343	1.5096133560959892
j4	1.5000001030784917e-06	6.744660134828827e-06	-6.249999934482275e-07	6.847760207658096e-06	-3.874999900403964e-06	8.585499836383099e-06	3.5000000085005922e-06	9.331269451061904e-06	1.8749999745182323e-06	6.119604908842334e-06	-5.588228375	0.07933053515543194	0.0	0.0	-60.6935649999998	4.332763464195466	75.64270374999981	4.395906866149374	-43.880796625	1.1254784837407832	-34.519883875000026	1.0614397442573291	4	-8.9	0.1	1	Janssen	21.43996882930644	0.996955512752406	-13.079915045693586	2.0583952570097352
j5	-2.0000001131847957e-06	1.1139296416162577e-05	-2.6250000104255376e-06	9.251231446830952e-06	-7.49999931883849e-07	7.302052490153676e-06	-7.499999817639491e-07	9.027293720995771e-06	1.374999994752102e-06	9.687882951807292e-06	-3.7532916249999975	0.03175033276197755	0.0	0.0	-33.779211250000074	1.4615810924103951	45.784923000000035	1.3378391208250788	-29.18685612500001	1.2072337117451624	-20.934440750000103	1.2573165289580794	5	-8.8	0.1	0	Janssen	9.926950323223219	0.49947891378561565	-11.007490426776885	1.7567954427436951
j6	-1.2499988486069924e-07	1.0988772160136202e-05	-8.750000169754914e-07	8.275009876591425e-06	-2.9999999665619722e-06	7.992180886994564e-06	3.749999970636964e-07	7.818142275316644e-06	1.8749999912870412e-06	1.012865782668147e-05	-3.8670994999999984	0.025507765642650015	0.0	0.0	-14.756153375000794	0.7996272220236471	33.17117575000006	0.8909483841147703	-35.91001912500001	0.6854337991072547	-21.362098000000078	0.8962424958120199	6	-8.2	0.1	0	Janssen	7.6766154011569	0.37868510367735125	-13.685482598843178	1.2749275994893712
j7	-5.000004694011295e-07	8.764976115956469e-06	-2.50000048538368e-07	8.84588192248535e-06	-1.7499999879078133e-06	9.487290286961516e-06	1.1250000177653874e-06	7.065377855542077e-06	-1.0000000388288299e-06	8.564149941322384e-06	-4.292159999999998	0.04248410150120519	0.0	0.0	-30.980492125000573	1.2090494758619337	47.35656224999998	1.2215514599098651	-29.532142124999986	0.6008689629293933	-17.448234374999746	0.936481437176228	7	-7.8	0.1	0	Janssen	8.924567623117792	0.4022954049610674	-8.523666751881954	1.3387768421372954
j8	-3.1249997763893588e-06	7.654648267727563e-06	1.5000000446008244e-06	9.439644623194253e-06	-3.2500000335744516e-06	7.926125509673113e-06	2.8749999854227324e-06	8.556012878623587e-06	-3.750001633306965e-07	9.19002841395046e-06	-3.6875763750000017	0.03040485375081908	0.0	0.0	-14.035324374999789	0.916172785986434	31.43132250000004	0.8428015250512871	-35.09704874999998	0.7906851088747665	-21.38862937499996	0.7507746885360957	8	-7.4	0.1	0	Janssen	6.562807468970687	0.37482067887718035	-14.825821906029276	1.1255953674132761
j9	-7.500000992877177e-07	9.493913185994587e-06	2.5000000825059493e-07	9.099289606707353e-06	-3.6249999538995314e-06	9.454334308036631e-06	-1.2499997946946454e-07	8.351222827940485e-06	-1.6250000265216611e-06	9.30277192539479e-06	-3.7518284999999976	0.02300935302400116	0.0	0.0	-21.192640249999968	1.6172958856869764	36.22265950000004	1.4084727373688557	-30.538404250000035	0.928993737252228	-19.260219375000094	1.1880630804823424	9	-7.3	0.1	0	Janssen	9.548557802971324	0.45778780861265744	-9.71166157202877	1.6458508890949999
j10	8.750000250756784e-07	9.975037406377963e-06	2.250000014569764e-06	8.103964771391682e-06	2.500000062752861e-06	8.441680104902679e-06	-3.7500000235723976e-07	8.169480510378798e-06	7.499998356763626e-07	1.0305057743717746e-05	-2.537435875000001	0.0297661389521433	0.0	0.0	-18.918640249999786	3.242149124099794	25.665305374999928	1.4494465215282868	-23.553720375	1.8970132890708955	-19.344485124999906	0.7901026741980346	10	-6.3	0.1	0	Janssen	6.460087490903277	0.6283910784043973	-12.88439763409663	1.418493752602432
j11	2.5000011078191164e-07	9.759174693693614e-06	-8.749999882695645e-07	9.538540443192313e-06	-3.2499999436197415e-06	8.730856623405711e-06	6.249999994167865e-07	8.942842480260075e-06	-1.7500000096504208e-06	6.672647175133127e-06	-2.9319715000000013	0.024653458334062416	0.0	0.0	-18.987528249998924	1.0213895584843948	31.245204875000052	0.7557314151046581	-26.790571749999906	0.8068861610840805	-17.46487162500003	0.8362984638614888	11a	-5.6	0.1	0	Janssen	6.851771593176778	0.47835548688372204	-10.613100031823251	1.3146539507452109
j12	-3.125000021100277e-06	8.241707388394322e-06	1.1250000209983568e-06	7.122204318331653e-06	-3.7500001937473825e-07	1.0906006995087893e-05	-2.499999954608257e-07	9.013372362092515e-06	8.750000224466703e-07	7.977885564650771e-06	-2.900269750000001	0.0264193193518984	0.0	0.0	-16.684537125000716	1.0491051637507087	27.458390000000072	1.051084624351697	-24.336656750000024	0.6582991298327926	-16.463075374999875	0.59212575232691	11b	-5.6	0.1	0	Janssen	6.818604606559551	0.37982062689405854	-9.644470768440325	0.9719463792209686
g1	-2.375000574375008e-06	9.732694975839233e-06	1.249999993859774e-06	7.61039939282747e-06	-1.25000010768872e-07	7.272588869256128e-06	-3.1249999882732025e-06	7.2805223549639874e-06	-7.500000263860329e-07	5.6832420313179725e-06	-4.746007625	0.041981341520082135	0.0	0.0	-17.432893874999895	0.9639363267448195	34.377273875000085	1.1464709790565455	-38.677288625	1.1304644768174588	-26.478921375000358	0.910318117837532	THQ1	-9.608	0.1	0	THQ	9.103731169029476	0.4678440562083431	-17.37519020597088	1.3781621740458752
g2	-3.1250003348759497e-06	1.0223161160561811e-05	-1.1249999238316378e-06	8.615757557071623e-06	-1.2499995975190358e-07	1.0298108555640636e-05	-2.374999959364743e-06	6.687017756386901e-06	-1.249998952346232e-07	7.676367274821503e-06	-3.766942375000003	0.031468081027095765	0.0	0.0	-16.741400000000322	1.2469535799878808	29.45589625000009	1.0078028360315232	-31.23366537500005	0.4891620228917085	-22.286118374999933	0.6515449418856006	THQ2	-7.6864	0.1	0	THQ	8.299837085281085	0.3799955539279119	-13.986281289718848	1.0315404958135126
